lr,n_epochs,batch_size,beta,nr,nt
1.00E-03,100,32,1.00E-03,5,10000
1.00E-03,1000,32,1.00E-03,5,10000
1.00E-05,100,32,1.00E-03,5,10000
5.00E-04,100,32,1.00E-03,5,10000
1.00E-04,100,32,1.00E-03,5,10000
0.00E+00,1000,32,1.00E-03,5,10000
1.00E-03,100,64,1.00E-03,5,10000
1.00E-03,100,128,1.00E-03,5,10000
1.00E-03,100,256,1.00E-03,5,10000
1.00E-03,100,32,1.00E-04,5,10000
1.00E-03,100,32,5.00E-04,5,10000
1.00E-03,100,32,5.00E-03,5,10000
1.00E-03,100,32,1.00E-02,5,10000
1.00E-03,100,32,1.00E-03,2,10000
1.00E-03,100,32,1.00E-03,3,10000
1.00E-03,100,32,1.00E-03,10,10000
1.00E-03,100,32,1.00E-03,20,10000
1.00E-03,100,32,1.00E-03,50,10000
1.00E-03,100,32,1.00E-03,5,725
1.00E-03,100,32,1.00E-03,5,1450
1.00E-03,100,32,1.00E-03,5,4300
1.00E-03,100,32,1.00E-03,5,7150
