lr,n_epochs,batch_size,beta,nr,nt,AE,Val,save,load
1.00E-05,500,64,0,20,10000,C-CNN-AE,1,1,0
1.00E-05,500,64,0,20,10000,C-CNN-AE,2,0,1
1.00E-05,500,64,0,20,10000,C-CNN-AE,3,0,1
1.00E-05,500,256,4.00E-04,30,10000,CNN-VAE,1,1,0
1.00E-05,500,256,4.00E-04,30,10000,CNN-VAE,2,0,1
1.00E-05,500,256,4.00E-04,30,10000,CNN-VAE,3,0,1
1.00E-05,500,64,0,2,10000,C-CNN-AE,1,0,0
1.00E-05,500,64,0,3,10000,C-CNN-AE,1,0,0
1.00E-05,500,64,0,5,10000,C-CNN-AE,1,0,0
1.00E-05,500,64,0,10,10000,C-CNN-AE,1,0,0
1.00E-05,500,64,0,15,10000,C-CNN-AE,1,0,0
1.00E-05,500,64,0,30,10000,C-CNN-AE,1,0,0
1.00E-05,500,64,0,50,10000,C-CNN-AE,1,0,0
1.00E-05,500,64,0,75,10000,C-CNN-AE,1,0,0
1.00E-05,500,256,4.00E-04,2,10000,CNN-VAE,1,0,0
1.00E-05,500,256,4.00E-04,3,10000,CNN-VAE,1,0,0
1.00E-05,500,256,4.00E-04,5,10000,CNN-VAE,1,0,0
1.00E-05,500,256,4.00E-04,10,10000,CNN-VAE,1,0,0
1.00E-05,500,256,4.00E-04,15,10000,CNN-VAE,1,0,0
1.00E-05,500,256,4.00E-04,20,10000,CNN-VAE,1,0,0
1.00E-05,500,256,4.00E-04,50,10000,CNN-VAE,1,0,0
1.00E-05,500,256,4.00E-04,75,10000,CNN-VAE,1,0,0
