lr,n_epochs,batch_size,beta,nr,nt,AE,save,load,train,reg,drop,struct,Val
5.00E-04,500,32,0,20,10000,C-CNN-AE,0,0,1,0,0,complex,1
5.00E-04,500,32,0,30,10000,C-CNN-AE,0,0,1,0,0,complex,1
5.00E-04,500,32,0,50,10000,C-CNN-AE,0,0,1,0,0,complex,1
5.00E-04,500,32,0,75,10000,C-CNN-AE,0,0,1,0,0,complex,1
5.00E-04,500,32,5.00E-03,2,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,5.00E-03,3,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,5.00E-03,5,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,5.00E-03,10,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,5.00E-03,15,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,5.00E-03,20,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,5.00E-03,30,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,5.00E-03,50,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,5.00E-03,75,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-03,2,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-03,3,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-03,5,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-03,10,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-03,15,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-03,20,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-03,30,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-03,50,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-03,75,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,5.00E-04,2,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,5.00E-04,3,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,5.00E-04,5,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,5.00E-04,10,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,5.00E-04,15,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,5.00E-04,20,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,5.00E-04,30,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,5.00E-04,50,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,5.00E-04,75,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-04,2,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-04,3,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-04,5,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-04,10,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-04,15,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-04,20,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-04,30,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-04,50,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-04,75,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-02,2,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-02,3,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-02,5,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-02,10,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-02,15,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-02,20,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-02,30,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-02,50,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-02,75,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-05,2,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-05,3,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-05,5,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-05,10,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-05,15,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-05,20,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-05,30,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-05,50,10000,CNN-VAE,0,0,1,0,0,complex,1
5.00E-04,500,32,1.00E-05,75,10000,CNN-VAE,0,0,1,0,0,complex,1
